index,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,,3.3
57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.07
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5,,2.25
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.75
64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,,2.5
66,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5,,1.85
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,,8.15
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5,11.81 Lakh,10.5
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,,3.48
74,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5,,6.46
80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,3.75
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,6.67 Lakh,4.5
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,,4.82
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.8
84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,,3.11
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.25
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,5.75
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,,5
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,5.5
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,3.5
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.79
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,4.45
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5,,3.8
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5,,4.65
102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7,6.45 Lakh,3.95
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,,2.7
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,,2.41
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,6.41 Lakh,3.9
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5,5.13 Lakh,3.91
112,Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,,2.15
117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5,9.51 Lakh,6.55
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,9.96 Lakh,7.5
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.45
124,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,,3.23
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,7.47
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,,5.81
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.53 Lakh,2.6
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,,1.6
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,,6
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,3.7
142,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,,5.43
145,Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5,,2.85
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,9.9
151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,6.25
155,Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,4.23
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.5
157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5,,2.5
158,Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,2.39
160,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,7.11
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,,6.2
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,4.42
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,,2.1
170,Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,,3.65
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.75
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,7.39 Lakh,6.5
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,,8.35
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,1.5
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.2
187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,8.78 Lakh,7.5
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,,4.04
192,Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.6
193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7,12.74 Lakh,8.5
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,3.5
196,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,3.55
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,3.25
199,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,,5.35
200,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45 kmpl,1493 CC,100 bhp,7,10.52 Lakh,6.5
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,11.98 Lakh,9
202,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,6
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,Petrol,Manual,First,14.7 kmpl,1390 CC,85 bhp,5,,2.75
204,Tata Indigo eCS GLX,Pune,2010,70500,Petrol,Manual,First,15.64 kmpl,1193 CC,64.1 bhp,5,,1.5
207,Toyota Etios Liva GD SP,Delhi,2014,104000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.06 bhp,5,,3
210,Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5,8.54 Lakh,3.25
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5,,5.95
214,Maruti Wagon R AMT VXI,Mumbai,2016,8500,Petrol,Automatic,First,20.51 kmpl,998 CC,67 bhp,5,,4.22
217,Hyundai i10 Magna 1.1,Pune,2012,44000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5,,2.9
220,Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,Petrol,Manual,First,17.19 kmpl,1197 CC,81.86 bhp,5,,8.22
221,Honda Amaze VX i-DTEC,Kolkata,2014,64000,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5,,3.5
222,Maruti Wagon R LXI,Chennai,2004,61000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5,,1.25
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.03 kmpl,1461 CC,65 bhp,5,9.12 Lakh,3.7
225,Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.29 Lakh,2.65
231,Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,18.6 kmpl,1199 CC,76.8 bhp,5,,3.32
232,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.6
233,Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,6.8
234,Ford Figo Diesel EXI,Kolkata,2012,41284,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,,2.5
238,Hyundai i20 1.2 Magna Executive,Kochi,2018,14960,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,6.27
240,Chevrolet Beat Diesel LT,Mumbai,2013,74000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,2.65
241,Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,56847,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,,7.2
243,Maruti Ertiga VDI,Chennai,2013,52000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,,6.9
248,Hyundai Grand i10 CRDi Era,Mumbai,2017,33000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,,4.75
249,Maruti Ciaz 1.3 Alpha,Chennai,2016,34000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,8.45
251,Hyundai Accent CRDi,Kochi,2006,160538,Diesel,Manual,First,13.1 kmpl,1493 CC,82 bhp,5,,1.8
253,Honda Jazz 1.2 VX i VTEC,Coimbatore,2017,49575,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,,7.17
254,Hyundai i10 Era,Jaipur,2010,83000,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,,1.75
257,Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Jaipur,2011,35000,Petrol,Manual,Third,19.7 kmpl,796 CC,35 bhp,5,,1.85
258,Maruti Swift VXI BSIV,Coimbatore,2017,27872,Petrol,Manual,Second,20.4 kmpl,1197 CC,81.80 bhp,5,,5.95
259,Hyundai Grand i10 Magna,Mumbai,2014,16514,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,3.75
260,Maruti Swift VDI,Pune,2012,120000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,3.75
263,Hyundai i20 1.2 Sportz,Mumbai,2010,52000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,,2.8
266,Maruti Ritz ZDi,Hyderabad,2014,88500,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,,4.35
268,Maruti A-Star Vxi,Pune,2010,67000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2
270,Fiat Grande Punto 1.3 Emotion Pack (Diesel),Delhi,2010,120000,Diesel,Manual,First,17.8 kmpl,1248 CC,76 bhp,5,,1.65
272,Hyundai i10 Sportz,Bangalore,2010,36000,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5,,3.25
274,Maruti Zen VXI BSII,Mumbai,2002,60000,Petrol,Manual,Third,17.3 kmpl,993 CC,60 bhp,5,,0.55
275,Maruti Swift VDI,Hyderabad,2018,31025,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,7.15
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,8.34 Lakh,3.75
279,Maruti Swift Dzire ZDI,Jaipur,2012,73000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,4.35
280,Maruti Alto 800 LXI,Kochi,2016,32227,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,3.26
286,Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,2013,46000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5,,3.11
287,Hyundai i20 Sportz AT 1.4,Coimbatore,2014,45051,Petrol,Automatic,First,15.0 kmpl,1396 CC,98.6 bhp,5,,5.96
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,8.34 Lakh,5.25
292,Maruti Wagon R LXI Minor,Delhi,2009,60000,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5,,1.35
293,Honda Jazz VX,Delhi,2015,62178,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5,8.85 Lakh,4.85
295,Hyundai i10 Magna 1.2,Hyderabad,2010,74000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,3.1
297,Hyundai i10 Magna 1.2 iTech SE,Pune,2012,45275,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.8
301,Volkswagen Polo Petrol Trendline 1.2L,Mumbai,2015,31978,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,,3.89
302,Maruti Alto K10 LXI,Hyderabad,2011,70000,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,,2.1
304,Tata Indigo LX,Coimbatore,2013,59138,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5,,2.58
309,Maruti Celerio VXI AT,Hyderabad,2014,77815,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,,4.25
313,Maruti Omni 8 Seater BSIV,Hyderabad,2012,71791,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,,2.05
314,Honda Brio 1.2 VX MT,Kochi,2012,91931,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,6.62 Lakh,3.13
315,Tata Sumo Delux,Hyderabad,2000,158000,Diesel,Manual,Second,14.07 kmpl,2956 CC,83.1 bhp,7,,1.5
316,Tata Indica Vista Aura 1.3 Quadrajet,Pune,2012,91183,Diesel,Manual,First,18.0 kmpl,1248 CC,75 bhp,5,,2.85
317,Maruti Wagon R LXI BS IV,Delhi,2012,65000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.65
319,Tata Indigo LS Dicor,Pune,2008,138000,Diesel,Manual,Second,17.1 kmpl,1396 CC,70 bhp,5,,1.25
320,Maruti Ertiga Paseo VXI,Mumbai,2018,18000,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7,,8.25
322,Maruti Swift Dzire VDi,Kolkata,2012,48000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5,,3.7
323,Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,2009,160000,Diesel,Manual,First,17.8 kmpl,1399 CC,68 bhp,5,,2.8
324,Honda City ZX GXi,Kolkata,2008,40000,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,5,,1.8
329,Hyundai i20 1.4 CRDi Asta,Pune,2012,83000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5,,5.5
330,Hyundai i10 Sportz AT,Bangalore,2009,37000,Petrol,Automatic,Third,16.95 kmpl,1197 CC,78.9 bhp,5,,2.95
331,Honda Jazz 1.2 V CVT i VTEC,Kochi,2016,28503,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,,6.86
332,Maruti Swift VDI BSIV,Hyderabad,2015,76496,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,6.15
333,Hyundai i20 Asta 1.2,Pune,2011,79152,Petrol,Manual,Second,18.5 kmpl,1197 CC,82.85 bhp,5,,3.3
334,Volkswagen Polo Petrol Comfortline 1.2L,Kolkata,2011,32000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,,2.55
335,Maruti Alto LXi,Ahmedabad,2009,35000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,1.5
337,Maruti Alto LXi,Chennai,2006,56000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,,1.4
338,Tata Manza ELAN Quadrajet BS IV,Pune,2012,73000,Diesel,Manual,First,21.12 kmpl,1248 CC,88.8 bhp,5,,3.4
339,Maruti Alto LXi,Pune,2012,38000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,2.25
342,Hyundai i20 Asta Option 1.2,Coimbatore,2016,24973,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,7.66
343,Maruti Vitara Brezza LDi,Chennai,2016,45000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,9.12 Lakh,7.15
345,Tata Indica Vista Aqua 1.3 Quadrajet,Hyderabad,2014,133944,Diesel,Manual,Second,18.0 kmpl,1248 CC,75 bhp,5,,3.5
346,Honda Amaze S i-Dtech,Kolkata,2013,57000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,3.45
347,Hyundai EON D Lite Plus,Coimbatore,2016,27904,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,3.55
350,Tata Manza Club Class Quadrajet90 LS,Ahmedabad,2013,47304,Diesel,Manual,First,21.02 kmpl,1248 CC,88.8 bhp,5,,2.9
352,Maruti Alto K10 VXI,Pune,2017,30000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.48 Lakh,3.75
353,Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,68000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,6.75
354,Chevrolet Spark 1.0 LS,Kolkata,2011,21000,Petrol,Manual,Second,18.0 kmpl,995 CC,62 bhp,5,,0.95
359,Maruti Swift LDI,Delhi,2013,70000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,3.5
360,Maruti Swift Dzire VXi AT,Mumbai,2016,18000,Petrol,Automatic,First,18.5 kmpl,1197 CC,83.14 bhp,5,,6.2
361,Nissan Micra Diesel XV,Chennai,2011,83000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,,2.75
362,Maruti Swift Dzire Tour LDI,Mumbai,2015,130000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,3.25
363,Ford Fiesta Classic 1.4 Duratorq CLXI,Pune,2012,63400,Diesel,Manual,First,17.8 kmpl,1399 CC,67 bhp,5,,3.25
364,Maruti Zen LX,Kolkata,2003,65000,Petrol,Manual,First,17.3 kmpl,993 CC,60 bhp,5,,0.65
366,Toyota Etios GD,Kolkata,2014,45000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.05 bhp,5,,3.25
367,Maruti Alto 800 2016-2019 LXI,Kolkata,2018,26200,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,,2.9
368,Maruti Alto VXi,Bangalore,2011,11000,Petrol,Manual,Third,18.9 kmpl,796 CC,47 bhp,5,,2.9
371,Hyundai Grand i10 AT Asta,Coimbatore,2015,37081,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5,,5.77
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,12 Lakh,9.49
375,Maruti 800 AC,Chennai,2007,72000,Petrol,Manual,Third,16.1 kmpl,796 CC,37 bhp,4,,1
376,Renault Duster 85PS Diesel RxL,Chennai,2015,93000,Diesel,Manual,Second,20.45 kmpl,1461 CC,83.8 bhp,5,,7.1
379,Maruti Ritz VDi,Hyderabad,2010,68000,Diesel,Manual,Second,21.1 kmpl,1248 CC,73.9 bhp,5,,3.2
381,Hyundai Xcent 1.1 CRDi Base,Kochi,2015,74310,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,,4
390,Honda Amaze S i-Vtech,Delhi,2015,52516,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,,4.65
393,Hyundai EON Magna Plus,Chennai,2014,37000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,3.25
394,Maruti Wagon R VXI BS IV,Kolkata,2014,17400,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5,,3.1
395,Maruti Ritz LDi,Coimbatore,2011,90207,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,3.91
402,Maruti Alto LX,Jaipur,2010,125000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,0.92
